cand_id,bioguide_id,match_method,confidence
H0AL01055,C001054,authoritative,high
H0AL02087,R000591,authoritative,high
H0AL05049,C000868,authoritative,high
H0AL05163,B001274,authoritative,high
H0AL07060,D000602,authoritative,high
H0AL07086,S001185,authoritative,high
H0AR01083,C001087,authoritative,high
H0AR02107,G000567,authoritative,high
H0AR03055,W000809,authoritative,high
H0AR04038,R000573,authoritative,high
H0AS00018,F000010,authoritative,high
H0AZ01184,F000444,authoritative,high
H0AZ01259,G000565,authoritative,high
H0AZ03362,Q000024,authoritative,high
H0CA03078,B001287,authoritative,high
H0CA08135,O000019,authoritative,high
H0CA10073,D000623,authoritative,high
H0CA10149,G000559,authoritative,high
H0CA11022,L000090,authoritative,high
H0CA14042,D000429,authoritative,high
H0CA15031,C000670,authoritative,high
H0CA15148,H001034,authoritative,high
H0CA17045,D000424,authoritative,high
H0CA19173,D000612,authoritative,high
H0CA25105,G000061,authoritative,high
H0CA27085,S001150,authoritative,high
H0CA31087,S001153,authoritative,high
H0CA32101,C001080,authoritative,high
H0CA33117,B001270,authoritative,high
H0CA45012,C000994,authoritative,high
H0CA48024,I000056,authoritative,high
H0CA48198,S001135,authoritative,high
H0CA49055,D000598,authoritative,high
H0CO03165,B000825,authoritative,high
H0CO04122,G000562,authoritative,high
H0CT02017,G000120,authoritative,high
H0CT03072,D000216,authoritative,high
H0DC00058,N000147,authoritative,high
H0DE01017,C001083,authoritative,high
H0FL02086,L000586,authoritative,high
H0FL02110,S001186,authoritative,high
H0FL03175,C001039,authoritative,high
H0FL04066,C001045,authoritative,high
H0FL05014,M000350,authoritative,high
H0FL05139,N000185,authoritative,high
H0FL08042,K000361,authoritative,high
H0FL08208,W000806,authoritative,high
H0FL12010,S000303,authoritative,high
H0FL12051,P000586,authoritative,high
H0FL12101,R000593,authoritative,high
H0FL13158,L000596,authoritative,high
H0FL15104,F000472,authoritative,high
H0FL17068,W000808,authoritative,high
H0FL18025,R000435,authoritative,high
H0FL19080,D000610,authoritative,high
H0FL24049,A000366,authoritative,high
H0FL25038,R000590,authoritative,high
H0FL26036,G000593,authoritative,high
H0GA03017,B001262,authoritative,high
H0GA04023,L000321,authoritative,high
H0GA05301,W000788,authoritative,high
H0GA05327,H001092,authoritative,high
H0GA06192,G000596,authoritative,high
H0GA07125,H001071,authoritative,high
H0GA07133,W000810,authoritative,high
H0GA07273,M001218,authoritative,high
H0GA08032,M001146,authoritative,high
H0GA08099,S001189,authoritative,high
H0GA09030,G000560,authoritative,high
H0GA09246,C001116,authoritative,high
H0GU01035,U000014,authoritative,high
H0HI01157,D000611,authoritative,high
H0HI02155,K000396,authoritative,high
H0IA01174,H001091,authoritative,high
H0IA02040,N000172,authoritative,high
H0IA04145,F000446,authoritative,high
H0ID01253,L000573,authoritative,high
H0IL05096,Q000023,authoritative,high
H0IL08090,W000811,authoritative,high
H0IL10120,K000360,authoritative,high
H0IL10302,D000613,authoritative,high
H0IL11052,K000378,authoritative,high
H0IL14080,H001059,authoritative,high
H0IL15053,J000285,authoritative,high
H0IL15129,M001211,authoritative,high
H0IL16085,M001138,authoritative,high
H0IL17059,S001182,authoritative,high
H0IN01150,M001214,authoritative,high
H0IN02125,M001189,authoritative,high
H0IN02190,W000813,authoritative,high
H0IN03065,R000385,authoritative,high
H0IN03198,S001188,authoritative,high
H0IN04170,R000592,authoritative,high
H0IN05094,M001189,authoritative_unverified,medium
H0IN05326,S000929,authoritative,high
H0IN08114,B001275,authoritative,high
H0IN09070,Y000064,authoritative,high
H0KS01016,R000307,authoritative,high
H0KS01123,M000871,authoritative,high
H0KS02188,L000266,authoritative,high
H0KS03137,Y000063,authoritative,high
H0KS04051,P000602,authoritative,high
H0KY05015,R000395,authoritative,high
H0KY06104,B001282,authoritative,high
H0LA01079,V000127,authoritative,high
H0LA01087,S001176,authoritative,high
H0LA02119,J000070,authoritative,high
H0LA03018,T000058,authoritative,high
H0LA03141,L000574,authoritative,high
H0MA04036,F000339,authoritative,high
H0MA04192,A000148,authoritative,high
H0MA10082,K000375,authoritative,high
H0MD07114,M000687,authoritative_unverified,medium
H0MD08021,M000941,authoritative,high
H0MI01088,B001271,authoritative,high
H0MI02094,H001058,authoritative,high
H0MI03126,A000367,authoritative,high
H0MI03308,M001186,authoritative,high
H0MI03316,S001221,authoritative,high
H0MI08042,R000572,authoritative,high
H0MI10071,C000071,authoritative,high
H0MI10287,M001136,authoritative,high
H0MI13398,C001085,authoritative,high
H0MN00013,R000033,authoritative,high
H0MN01045,H001088,authoritative,high
H0MN04049,M001143,authoritative,high
H0MN07091,F000470,authoritative,high
H0MN08115,C001086,authoritative,high
H0MO00019,C001060,authoritative,high
H0MO01066,C001049,authoritative,high
H0MO02148,A000358,authoritative,high
H0MO04086,H001053,authoritative,high
H0MO06073,G000546,authoritative,high
H0MO07113,L000576,authoritative,high
H0MS01043,N000186,authoritative,high
H0MS04120,P000601,authoritative,high
H0MT00033,R000571,authoritative,high
H0NC02059,E000291,authoritative,high
H0NC02125,R000305,authoritative,high
H0NC03172,M001210,authoritative,high
H0NC09187,B001311,authoritative,high
H0NC11233,C001104,authoritative,high
H0ND00135,B001272,authoritative,high
H0ND01026,C001096,authoritative,high
H0NE03035,B000179,authoritative,high
H0NH01019,S000606,authoritative,high
H0NH01217,G000570,authoritative,high
H0NH02017,B000220,authoritative,high
H0NH02181,K000382,authoritative,high
H0NJ01066,A000210,authoritative,high
H0NJ03153,R000594,authoritative,high
H0NJ07261,K000398,authoritative,high
H0NJ10026,P000149,authoritative,high
H0NM02039,S000463,authoritative,high
H0NM03102,L000273,authoritative,high
H0NV01078,P000589,authoritative,high
H0NV03058,H001055,authoritative,high
H0NY02085,I000057,authoritative,high
H0NY02234,G000597,authoritative,high
H0NY03083,S001222,authoritative,high
H0NY09072,T000471,authoritative,high
H0NY11078,M000317,authoritative,high
H0NY13074,G000569,authoritative,high
H0NY15160,T000486,authoritative,high
H0NY16010,S000148,authoritative,high
H0NY16143,B001223,authoritative,high
H0NY17174,J000306,authoritative,high
H0NY18065,S000248,authoritative,high
H0NY19139,H001054,authoritative,high
H0NY20079,M001178,authoritative,high
H0NY20095,G000564,authoritative,high
H0NY23081,O000169,authoritative,high
H0NY25078,B001276,authoritative,high
H0NY27090,J000020,authoritative,high
H0NY29054,R000585,authoritative,high
H0OH06189,J000292,authoritative,high
H0OH07021,H000666,authoritative,high
H0OH08029,B000589,authoritative,high
H0OH12062,T000462,authoritative,high
H0OH16097,R000586,authoritative,high
H0OH18077,G000563,authoritative,high
H0OK05114,L000575,authoritative,high
H0OK05205,B000740,authoritative,high
H0OR02127,B000668,authoritative,high
H0OR03026,W000779,authoritative,high
H0PA03271,K000376,authoritative,high
H0PA04220,R000598,authoritative,high
H0PA06076,C001106,authoritative,high
H0PA07082,M001181,authoritative,high
H0PA10078,M001179,authoritative,high
H0PA11050,K000008,authoritative,high
H0PA12132,C001081,authoritative,high
H0PA12181,K000395,authoritative,high
H0PA14039,C000846,authoritative,high
H0PA18030,S000059,authoritative,high
H0PA19053,P000585,authoritative,high
H0RI01073,C001084,authoritative,high
H0RI02071,R000122,authoritative,high
H0RI02139,L000559,authoritative,high
H0SC01071,B001235,authoritative,high
H0SC01279,S001184,authoritative,high
H0SC01394,M000194,authoritative,high
H0SC03077,D000615,authoritative,high
H0SC04257,G000566,authoritative,high
H0SC05031,M001182,authoritative,high
H0SD00054,N000184,authoritative,high
H0TN01118,H001086,authoritative,high
H0TN03254,F000459,authoritative,high
H0TN04195,D000616,authoritative,high
H0TN06257,B001273,authoritative,high
H0TN08246,F000458,authoritative,high
H0TX04037,H000067,authoritative,high
H0TX04219,F000246,authoritative,high
H0TX07055,C001048,authoritative,high
H0TX07170,H001095,authoritative,high
H0TX09077,S000937,authoritative,high
H0TX11230,P000048,authoritative,high
H0TX13228,J000304,authoritative,high
H0TX15124,D000594,authoritative,high
H0TX17104,F000461,authoritative,high
H0TX22302,N000026,authoritative,high
H0TX23086,H001073,authoritative,high
H0TX24209,V000134,authoritative,high
H0TX27061,F000460,authoritative,high
H0TX35015,G000594,authoritative,high
H0UT01015,H000172,authoritative,high
H0UT01205,M001213,authoritative,high
H0UT02096,M001142,authoritative,high
H0UT04076,O000086,authoritative,high
H0VA01052,D000597,authoritative,high
H0VA02084,R000589,authoritative,high
H0VA02118,T000477,authoritative,high
H0VA03025,B000556,authoritative,high
H0VA05095,H001060,authoritative,high
H0VA05160,G000595,authoritative,high
H0VA07042,C001046,authoritative,high
H0VA07133,M001239,authoritative,high
H0VA08040,M000933,authoritative,high
H0VA09055,G000568,authoritative,high
H0WA02080,L000560,authoritative,high
H0WA03161,H001064,authoritative,high
H0WA03187,H001056,authoritative,high
H0WA08046,D000617,authoritative,high
H0WA10034,S001159,authoritative,high
H0WI03175,V000135,authoritative,high
H0WI05113,F000471,authoritative,high
H0WI06061,P000265,authoritative,high
H0WI07051,D000614,authoritative,high
H0WI07101,T000165,authoritative,high
H0WI08075,R000587,authoritative,high
H0WV01072,M001180,authoritative,high
H0WV02138,C001047,authoritative,high
H1NV02017,A000369,authoritative_unverified,medium
H2AK01083,B001323,authoritative,high
H2AK01158,P000619,authoritative,high
H2AL01077,B001244,authoritative,high
H2AL02067,E000268,authoritative,high
H2AL03032,R000575,authoritative,high
