election_cycle,transaction_year,transaction_month,cand_id,bioguide_id,total_raised,transaction_count
1980,,,H8NY06014,,5000,6
1980,,,H8TX21018,,2000,2
1980,1978,,H0CA11188,,4000,4
1980,1978,,H6CA27124,,700,2
1980,1978,,H6IN01074,,2544,2
1980,1978,,H6LA01084,,1250,2
1980,1978,,H6MI12132,,1170,5
1980,1978,,H6MO06062,,450,2
1980,1978,,H6NJ09082,,400,1
1980,1978,,H6NY05036,,200,1
1980,1978,,H6TX08019,,12200,32
1980,1978,,H8CA11025,,575,1
1980,1978,,H8MN03010,,820,2
1980,1978,,H8MO01036,,218,1
1980,1978,,H8MS04107,,1000,2
1980,1978,,H8MT01026,,800,1
1980,1978,,H8NY06014,,2500,3
1980,1978,,H8NY32010,,865,1
1980,1978,,H8WV02024,,1000,1
1980,1978,,S6AZ00027,,585,2
1980,1978,,S8DE00038,,250,1
1980,1978,,S8MT00069,,800,1
1980,1978,,S8NC00015,H000463,1850,7
1980,1978,,S8VA00032,,1050,2
1980,1979,,H0AZ01010,,750,3
1980,1979,,H0CA01015,,2250,10
1980,1979,,H0CA02013,,3246,6
1980,1979,,H0CA02021,,17450,27
1980,1979,,H0CA05016,,4250,7
1980,1979,,H0CA11014,,7950,15
1980,1979,,H0CA11022,L000090,68348,130
1980,1979,,H0CA11113,,134,4
1980,1979,,H0CA11154,,3671,7
1980,1979,,H0CA11162,,1000,4
1980,1979,,H0CA11170,,2100,7
1980,1979,,H0CA11188,,96634,197
1980,1979,,H0CA11196,,36091,9
1980,1979,,H0CA11204,,5200,11
1980,1979,,H0CA14018,,2000,3
1980,1979,,H0CA17011,,1000,3
1980,1979,,H0CA20015,,6800,10
1980,1979,,H0CA31020,,1500,2
1980,1979,,H0CA41078,,7000,15
1980,1979,,H0CO02019,,7700,25
1980,1979,,H0CO04015,,1000,1
1980,1979,,H0CT02033,,12700,15
1980,1979,,H0CT06018,,4400,5
1980,1979,,H0FL05014,M000350,10558,34
1980,1979,,H0FL12010,S000303,2250,5
1980,1979,,H0FL13018,,440,1
1980,1979,,H0GA02019,,19388,39
1980,1979,,H0GA02035,,8921,21
1980,1979,,H0GA02043,,10000,1
1980,1979,,H0GA04015,,1250,2
1980,1979,,H0GA10194,,100,1
1980,1979,,H0IA02016,,1445,6
1980,1979,,H0IA03014,,692,3
1980,1979,,H0IA03022,,29000,4
1980,1979,,H0IA03030,,6400,25
1980,1979,,H0IA03048,,600,2
1980,1979,,H0IA04012,,250,1
1980,1979,,H0IA04020,,644,1
1980,1979,,H0ID01055,,2550,5
1980,1979,,H0IL01012,,1600,4
1980,1979,,H0IL01020,,1178,2
1980,1979,,H0IL02010,,4914,13
1980,1979,,H0IL02028,,2375,5
1980,1979,,H0IL02044,,2800,5
1980,1979,,H0IL04016,,2374,2
1980,1979,,H0IL04024,,1000,1
1980,1979,,H0IL06011,,200,1
1980,1979,,H0IL07019,,900,4
1980,1979,,H0IL09015,,2473,2
1980,1979,,H0IL10013,,4250,9
1980,1979,,H0IL10021,,1500,2
1980,1979,,H0IL16010,,1750,3
1980,1979,,H0IL16028,,2772,10
1980,1979,,H0IL16036,,889,4
1980,1979,,H0IL16044,,8861,26
1980,1979,,H0IL16051,,21594,51
1980,1979,,H0IL16069,,3250,4
1980,1979,,H0IL17018,,500,1
1980,1979,,H0IL20012,,15753,50
1980,1979,,H0IL23016,,750,3
1980,1979,,H0IN02034,,5000,6
1980,1979,,H0IN02059,,1400,3
1980,1979,,H0IN04022,C000542,1900,4
1980,1979,,H0IN04030,,4850,17
1980,1979,,H0IN10011,,15900,23
1980,1979,,H0IN10029,,200,1
1980,1979,,H0IN11019,,4500,12
1980,1979,,H0IN11027,,400,1
1980,1979,,H0IN11035,,1002,2
1980,1979,,H0KS03020,,500,1
1980,1979,,H0KY05015,R000395,13097,21
1980,1979,,H0MA10017,,4300,16
1980,1979,,H0MD02024,,4250,16
1980,1979,,H0MD02040,,500,1
1980,1979,,H0MD05019,,500,1
1980,1979,,H0MI10014,,1440,5
1980,1979,,H0MI10048,,2200,5
1980,1979,,H0MN02019,,1200,2
1980,1979,,H0MN06028,,9450,29
1980,1979,,H0MO10018,,2808,3
1980,1979,,H0MT01023,,1574,3
1980,1979,,H0NC07017,,1050,4
1980,1979,,H0ND00036,D000432,1999,4
1980,1979,,H0NE02011,,250,1
1980,1979,,H0NE02029,,5250,13
1980,1979,,H0NJ06016,,200,1
1980,1979,,H0NJ06024,,1850,4
1980,1979,,H0NJ09028,,2500,3
1980,1979,,H0NJ10018,,700,2
1980,1979,,H0NJ11016,,4900,3
1980,1979,,H0NM01015,,5121,10
1980,1979,,H0NY06011,,36900,46
1980,1979,,H0NY17018,,1000,1
1980,1979,,H0OH02014,,1000,1
1980,1979,,H0OH09019,,22387,51
1980,1979,,H0OK04018,,5900,16
1980,1979,,H0OK04026,,3800,14
1980,1979,,H0OK04034,,1250,4
1980,1979,,H0OK04059,,1600,3
1980,1979,,H0OR01012,,1000,3
1980,1979,,H0OR02010,,8200,15
1980,1979,,H0PA01010,,525,1
1980,1979,,H0PA04022,,3450,10
1980,1979,,H0PA04048,,7900,15
1980,1979,,H0PA07017,,2000,2
1980,1979,,H0PA08015,,1000,1
1980,1979,,H0PA11019,,5450,16
1980,1979,,H0PA11043,,700,2
1980,1979,,H0PA15028,,1450,3
1980,1979,,H0PA15036,,5750,15
1980,1979,,H0SC01014,,3850,10
1980,1979,,H0TN02017,,3000,4
1980,1979,,H0TN05028,,1000,1
1980,1979,,H0TX04011,,1450,3
1980,1979,,H0TX08012,,29950,54
1980,1979,,H0TX08020,,11750,30
1980,1979,,H0TX08038,,12064,18
1980,1979,,H0TX12014,,2023,2
1980,1979,,H0TX12022,,8550,12
1980,1979,,H0TX13012,,1150,4
1980,1979,,H0TX22013,,1000,1
1980,1979,,H0TX22021,,7100,9
1980,1979,,H0TX23011,,1000,2
1980,1979,,H0WA04011,,4650,17
1980,1979,,H0WA04029,,25550,51
1980,1979,,H0WI01013,,2300,4
1980,1979,,H0WI06012,,900,3
1980,1979,,H0WI06038,,3155,7
1980,1979,,H0WI06053,,5539,18
1980,1979,,H0WI06061,P000265,11680,34
1980,1979,,H0WI06079,,10000,23
1980,1979,,H0WI06087,,16320,38
1980,1979,,H0WI06095,,400,2
1980,1979,,H0WI06103,,875,3
1980,1979,,H0WV02013,,1500,1
1980,1979,,H2CA41033,,6750,9
1980,1979,,H6AK00045,Y000033,36600,111
1980,1979,,H6AL02050,,8900,33
1980,1979,,H6AL04023,,200,1
1980,1979,,H6AL05038,,8775,26
1980,1979,,H6AL05111,,250,1
1980,1979,,H6AL06028,,10450,38
1980,1979,,H6AR01023,,13500,26
1980,1979,,H6AZ01041,,1200,3
1980,1979,,H6AZ02049,,49749,129
1980,1979,,H6AZ03112,S001044,600,3
1980,1979,,H6AZ04029,,16846,38
1980,1979,,H6CA02044,,1175,4
1980,1979,,H6CA05021,,31950,75
1980,1979,,H6CA06029,,1750,3
1980,1979,,H6CA07043,M000725,11834,33
1980,1979,,H6CA08041,,7750,25
1980,1979,,H6CA10013,,3100,7
1980,1979,,H6CA13116,,3174,12
1980,1979,,H6CA14015,,300,1
1980,1979,,H6CA19022,,5000,18
1980,1979,,H6CA20020,,1661,4
1980,1979,,H6CA20061,,16400,50
1980,1979,,H6CA21010,,17900,30
1980,1979,,H6CA22026,,1000,1
1980,1979,,H6CA23024,,13450,36
1980,1979,,H6CA24048,W000215,8550,20
1980,1979,,H6CA27124,,2450,8
1980,1979,,H6CA30029,,13999,36
1980,1979,,H6CA31043,W000801,12600,29
1980,1979,,H6CA32025,,1200,6
1980,1979,,H6CA34112,L000517,18455,69
1980,1979,,H6CA35036,,3900,12
1980,1979,,H6CA36026,,2075,7
1980,1979,,H6CA38030,,3350,12
1980,1979,,H6CA40036,,19700,69
1980,1979,,H6CA41109,,300,1
1980,1979,,H6CO01034,,500,1
1980,1979,,H6CO02024,,1750,3
1980,1979,,H6CO02040,,4100,7
1980,1979,,H6CT03020,,500,1
1980,1979,,H6CT03046,,2050,1
1980,1979,,H6CT04028,,5980,31
